Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Label
-0.008391307,0.03246392,-10.706993,102.83041,0.03362824,1.566527,0.294266,0.37846893,129.19922,2
0.00058862433,0.0036411018,-11.376863,103.46804,0.027068906,1.6843688,0.2928748,0.37153873,129.19922,2
-1.1398657e-05,0.00030229724,-12.869386,101.49706,0.058760688,3.2465487,0.27097315,0.35897437,129.19922,2
-0.012646317,0.09520503,-12.160393,98.74028,0.16105394,5.5820823,0.2863643,0.3740267,123.046875,2
-0.002244934,0.046181582,-10.769637,102.740746,0.03289006,1.391229,0.29086795,0.37561107,129.19922,2
6.569159e-05,0.00037665796,-12.226839,100.14883,0.07353114,3.7709837,0.2708664,0.36349303,129.19922,2
0.0011462994,0.06633788,-10.5181,99.1134,0.08834302,3.4745886,0.28996485,0.3745263,147.65625,2
0.0037377565,0.010490763,-13.399251,102.38194,0.053983845,2.9842176,0.25399253,0.35076928,132.51202,2
-0.014557025,0.03150034,-10.680855,96.25317,0.071365714,4.5267544,0.29171973,0.37507066,129.19922,2
-0.002005714,0.0041451943,-11.916315,98.54357,0.06996456,5.8236103,0.28669548,0.3686798,112.347145,2
-0.0024475597,0.0019607535,-12.399413,99.04313,0.16181692,5.7792807,0.28206638,0.3724659,215.33203,2
0.010846642,0.03836308,-12.224702,106.69973,0.03416869,1.2988521,0.28639066,0.3759813,123.046875,2
-0.0006426487,0.007003162,-12.611338,97.62926,0.08419257,6.913615,0.28439453,0.36858463,156.60512,2
0.006319519,0.009610118,-11.960803,98.919075,0.14398442,5.1972027,0.26862562,0.3681135,143.55469,2
0.018115625,0.09686024,-12.489453,100.3299,0.100966685,3.7386494,0.27823842,0.36894596,123.046875,2
-0.024283668,0.009043016,-11.266885,105.398506,0.028548924,0.92114955,0.28775206,0.37481272,126.04802,2
-0.0022587534,0.01970882,-11.929936,99.43679,0.06911291,3.498701,0.25468332,0.349251,126.04802,2
0.004777261,0.03277411,-11.230186,105.26455,0.022462703,0.8202967,0.29036614,0.3768958,129.19922,2
0.0035227016,0.005023497,-11.483047,97.84086,0.07878072,4.8095818,0.28504312,0.37031505,129.19922,2
0.0006193822,0.0034991945,-12.222726,97.130005,0.08386526,7.139037,0.2852754,0.36780024,129.19922,2
-0.007908935,0.016498068,-11.509822,103.43308,0.025004815,1.5898643,0.28632057,0.36637703,132.51202,2
0.024911145,0.024665838,-12.228092,100.16348,0.14698994,5.324895,0.27963147,0.372163,215.33203,2
-0.008082205,0.019554349,-11.907394,104.61881,0.06722964,2.4523838,0.28507838,0.37596643,117.453835,2
-0.001736426,0.020181611,-11.717199,100.66334,0.06244952,3.1843314,0.2768795,0.36491293,132.51202,2
0.082786806,0.07218625,-10.414557,94.18509,0.15178232,7.436463,0.28565753,0.3692817,132.51202,2
-0.025173299,0.17786756,-11.970967,101.29299,0.056723878,2.6084988,0.2729147,0.36796305,112.347145,2
0.001448004,0.009066343,-12.067199,103.90286,0.027347352,1.5153292,0.26200888,0.3531135,132.51202,2
0.0009093374,0.003474166,-12.027293,101.982285,0.09363734,4.278794,0.28297645,0.37124002,95.703125,2
0.005273112,0.020262485,-12.206736,103.9791,0.07213343,3.323091,0.29009172,0.37531477,184.57031,2
0.05859122,0.18980692,-12.9030905,94.15273,0.13381746,7.339666,0.24056017,0.34837687,82.03125,2
0.13904266,0.124343514,-12.649332,98.70599,0.20971228,6.78478,0.2358077,0.34570622,83.35433,2
0.10510551,0.055192564,-13.455521,106.771454,0.061007824,1.7500547,0.2723026,0.3685409,161.49902,2
4.2427924e-05,0.00093436736,-10.996939,94.84039,0.12461305,6.335475,0.2859823,0.37158948,120.18532,2
-0.006337833,0.011394603,-11.880884,97.8081,0.05627464,3.8759093,0.28650615,0.370807,166.70866,2
-0.018063424,0.021633133,-11.592469,107.62017,0.020054322,0.84293586,0.2924158,0.3792963,114.84375,2
0.0016244501,0.009955582,-10.789446,105.23094,0.020547073,0.8059764,0.31071058,0.38790172,114.84375,2
-0.0021232585,0.007726581,-12.322952,97.30132,0.10030003,5.533213,0.28206724,0.36970642,117.453835,2
-0.018928394,0.009739201,-11.660656,98.60198,0.1268162,5.4016705,0.2763791,0.36853212,126.04802,2
-0.006084272,0.06575107,-13.244368,102.81392,0.06306165,2.4259708,0.2680188,0.3636583,184.57031,2
0.0037194681,0.0042129103,-12.070471,103.03652,0.058496263,2.7179716,0.2623114,0.3581633,132.51202,2
-0.0002082944,0.026371876,-12.825429,96.00882,0.08422436,6.381575,0.26599586,0.35842273,114.84375,2
-0.005693665,0.13599883,-11.75638,99.05354,0.07170259,4.319523,0.2576286,0.35357237,143.55469,2
-0.011971927,0.026240187,-12.001133,102.9832,0.049182735,2.2921708,0.26409876,0.36143008,132.51202,2
-0.016752755,0.0067054303,-12.637466,100.9806,0.097468205,5.297686,0.28337446,0.3738232,97.50884,2
0.0017993835,0.0046274336,-11.300293,97.72619,0.08430001,6.2019405,0.28368098,0.36831528,114.84375,2
-0.012049351,0.020714585,-14.331002,112.25492,0.046732977,1.2976474,0.2797291,0.3705146,156.60512,2
-0.001748377,0.003062751,-13.398473,102.17441,0.06530943,2.796083,0.27144313,0.36641875,184.57031,2
-0.009333239,0.0030320408,-12.611587,100.54273,0.16446999,5.1364326,0.24448405,0.35205156,123.046875,2
0.00025159173,0.0010056067,-12.656994,103.1365,0.07455001,3.4687588,0.27271277,0.36615017,184.57031,2
0.0019357029,0.0071462994,-12.311664,95.6209,0.13348554,7.823117,0.26249146,0.35634875,135.99918,2
-0.011549997,0.008354404,-13.245461,109.15181,0.043344084,1.4988226,0.3019506,0.38380647,139.67484,2
-0.014096507,0.008722796,-12.293798,103.69348,0.06104804,2.003508,0.2521353,0.35471517,147.65625,2
0.005840221,0.015323245,-10.413974,98.2659,0.053233955,3.3615377,0.3093557,0.38673356,129.19922,2
-0.0094113685,0.0076080253,-11.47393,99.73111,0.08569767,4.3063965,0.2758328,0.36439157,117.453835,2
-0.0017634659,0.028574599,-10.385555,98.35047,0.088817395,4.7713203,0.27848992,0.3652569,132.51202,2
-0.004991197,0.014253179,-10.029125,94.13111,0.12778765,7.2202153,0.31241623,0.38853818,123.046875,2
0.005225292,0.02249525,-12.449533,101.58067,0.100225314,4.6201234,0.26402998,0.36021042,143.55469,2
0.010078234,0.046553914,-11.3642235,92.955505,0.18140104,8.233516,0.26255506,0.36022148,123.046875,2
-0.014233207,0.07754438,-10.216547,98.75891,0.119444296,4.7066565,0.2827215,0.36893293,129.19922,2
0.015001475,0.096497685,-10.582743,101.43561,0.027953524,1.6599219,0.304064,0.3848705,97.50884,2
-0.0005983242,0.008978628,-12.523446,100.79384,0.07033634,3.2811897,0.27156094,0.36521232,114.84375,2
-0.003048531,0.007230909,-12.025368,99.35828,0.048089918,3.504753,0.28078553,0.36765063,161.49902,2
0.028048683,0.054322492,-12.089533,106.438324,0.035371866,1.4810166,0.2864343,0.37219894,126.04802,2
0.004331385,0.010739558,-12.042632,98.75939,0.123373,4.9269586,0.27961165,0.37347394,107.666016,2
-0.00035537602,0.008625982,-12.707364,105.17144,0.021466028,1.6132756,0.27777532,0.3693319,147.65625,2
-0.01050412,0.0059621437,-13.133239,105.41905,0.030942844,1.4332899,0.2620898,0.35934988,114.84375,2
-0.017661167,0.008156982,-10.758216,102.05204,0.028834688,1.0944047,0.2787397,0.3702182,147.65625,2
-0.009892609,0.058058098,-12.829286,100.2346,0.19594379,7.437699,0.28529415,0.37580928,143.55469,2
0.011291975,0.015013656,-11.949455,103.965706,0.022634601,1.2239329,0.26720166,0.36586928,161.49902,2
0.024390409,0.030017743,-12.966346,106.01191,0.08880775,2.5024,0.26193136,0.36330143,156.60512,2
-0.020949157,0.044252515,-13.4475155,111.227104,0.024292523,0.9166173,0.29214692,0.38094765,151.99908,2
-0.0013160213,0.007347788,-12.091846,106.95867,0.021656694,0.89738905,0.26104355,0.36635706,126.04802,2
